High School,College,Masters,PhD
122812,78126,108783,107763
122812,116465,108783,107763
122812,116465,108783,112473
122812,72883,108783,112473
122812,92997,108783,112473
122812,92997,95803,112473
122812,92997,95803,105329
122812,92997,95803,83691
122812,92997,95803,99190
122812,109494,95803,99190
99847,109494,95803,99190
99847,101905,95803,99190
99847,101905,95803,117656
99847,101905,95803,92652
99847,101905,95803,94997
99847,81069,95803,94997
99847,81069,95803,142448
99847,81197,95803,142448
99847,81197,109923,142448
99847,81197,109923,98035
99847,81197,109923,114448
99847,122896,109923,114448
99847,122896,76496,114448
99847,122896,113519,114448
99847,122896,113519,89539
84495,122896,113519,89539
84495,122896,113519,123391
84495,122896,113519,106090
101454,122896,113519,106090
102022,122896,113519,106090
102022,94047,113519,106090
102022,88009,113519,106090
102022,88009,113519,106139
102022,88009,113519,95824
102022,88009,113519,97673
102022,88009,68087,97673
102022,88009,130317,97673
102022,88009,91232,97673
102022,88009,91232,80676
102022,88009,91232,84513
102022,96310,91232,84513
112335,96310,91232,84513
112335,96310,100133,84513
112335,96310,98578,84513
112335,96310,98578,106940
112335,96310,99069,106940
112335,96310,96986,106940
112335,79728,96986,106940
71578,79728,96986,106940
71578,79728,96986,121959
71578,79524,96986,121959
71578,79524,85765,121959
71578,79524,85765,107202
71578,79524,96607,107202
71578,92017,96607,107202
71578,92017,96607,98967
71578,92790,96607,98967
91875,92790,96607,98967
91875,136772,96607,98967
75410,136772,96607,98967
75410,136772,96607,69421
64594,136772,96607,69421
64594,142378,96607,69421
64594,62149,96607,69421
64594,62149,96607,111478
64594,122402,96607,111478
58991,122402,96607,111478
58991,122402,96607,55695
58991,83172,96607,55695
58991,112552,96607,55695
58991,87382,96607,55695
58991,87382,93271,55695
58991,87382,121061,55695
58991,87382,88939,55695
58991,87382,88939,58686
68412,87382,88939,58686
68412,87382,88939,156788
68412,87382,88939,55150
68412,87382,88939,97009
68412,87382,137135,97009
68412,87382,137135,78334
68412,87382,137135,128557
68412,87382,137135,76850
68412,87382,101131,76850
68412,87382,60461,76850
117794,87382,60461,76850
117794,90300,60461,76850
117794,90300,85757,76850
155151,90300,85757,76850
155151,90300,105174,76850
91448,90300,105174,76850
91448,136571,105174,76850
105154,136571,105174,76850
105154,121464,105174,76850
105154,121464,105174,125923
119421,121464,105174,125923
119421,121464,101969,125923
119421,121464,100625,125923
119421,121464,100625,61620
56166,121464,100625,61620
56166,121464,100625,85019
56166,121464,98640,85019
56166,121464,98640,98583
56166,115615,98640,98583
96329,115615,98640,98583
96329,115615,70096,98583
96329,115615,91336,98583
96329,115615,96506,98583
96329,115615,73369,98583
96329,115615,67847,98583
96329,115615,67847,87205
96329,106247,67847,87205
96329,106247,51237,87205
96329,72592,51237,87205
96329,72592,51237,119374
96329,72592,51237,133817
96329,72592,80768,133817
96329,63410,80768,133817
143985,63410,80768,133817
143985,117163,80768,133817
95119,117163,80768,133817
95119,110428,80768,133817
95119,110428,80768,136138
111006,110428,80768,136138
86493,110428,80768,136138
65008,110428,80768,136138
65008,110428,92256,136138
65008,110428,92256,48736
65008,110428,105386,48736
65008,112237,105386,48736
76692,112237,105386,48736
101424,112237,105386,48736
101424,112237,105386,107462
99340,112237,105386,107462
99340,112237,97867,107462
99340,112237,128726,107462
122269,112237,128726,107462
122269,112237,128726,78192
122269,112237,128726,112146
122269,76197,128726,112146
112143,76197,128726,112146
112143,73886,128726,112146
112143,73886,128726,137604
102048,73886,128726,137604
102048,73886,105610,137604
102048,73596,105610,137604
102048,73596,107794,137604
102048,73596,107794,94481
102048,73596,124006,94481
102048,73596,142047,94481
102048,73596,94565,94481
102048,73596,78202,94481
102048,73596,78202,92049
102048,116843,78202,92049
115222,116843,78202,92049
115222,121865,78202,92049
115222,121865,87810,92049
115222,121865,151758,92049
67089,121865,151758,92049
55033,121865,151758,92049
55033,121865,79333,92049
53192,121865,79333,92049
109015,121865,79333,92049
109015,121865,69872,92049
109015,121865,116520,92049
109015,121865,116520,68343
109015,121865,80651,68343
109015,121865,80651,118977
109015,121865,89182,118977
109015,92449,89182,118977
109015,92449,115762,118977
109015,92449,117399,118977
109015,92449,117399,136681
109015,128166,117399,136681
109015,128166,117399,99501
58373,128166,117399,99501
114814,128166,117399,99501
114814,128166,117399,136949
114814,128166,89752,136949
114814,128166,89752,93603
101261,128166,89752,93603
101261,128166,89752,95787
101261,128166,89752,148989
107239,128166,89752,148989
107239,128166,111905,148989
107239,128166,111905,109056
67639,128166,111905,109056
67639,128166,137001,109056
67639,128166,109276,109056
67639,128166,111329,109056
67639,80112,111329,109056
67639,80112,111329,82582
67639,72875,111329,82582
67639,115234,111329,82582
67639,85266,111329,82582
107929,85266,111329,82582
107929,85266,95867,82582
107929,87635,95867,82582
89142,87635,95867,82582
113812,87635,95867,82582
113812,98933,95867,82582
113812,98933,65225,82582
113812,98933,65225,102966
113812,98933,65225,128384
113812,115339,65225,128384
113812,84051,65225,128384
113812,84051,106220,128384
113812,84051,106220,99405
97897,84051,106220,99405
127356,84051,106220,99405
127356,84051,106220,111944
127356,84051,106220,136316
129208,84051,106220,136316
129208,84051,120345,136316
112472,84051,120345,136316
71193,84051,120345,136316
71193,84051,97374,136316
71193,84051,136686,136316
71193,62490,136686,136316
76841,62490,136686,136316
84795,62490,136686,136316
84795,90201,136686,136316
73500,90201,136686,136316
73500,90201,67510,136316
73500,90201,82118,136316
73500,165250,82118,136316
57952,165250,82118,136316
73575,165250,82118,136316
89272,165250,82118,136316
89272,97352,82118,136316
89272,100925,82118,136316
89272,117136,82118,136316
89272,117136,73853,136316
89272,117136,73853,106860
89272,87448,73853,106860
89272,87448,140520,106860
93157,87448,140520,106860
93157,107605,140520,106860
93157,110926,140520,106860
93157,77863,140520,106860
93157,123152,140520,106860
93157,123152,140520,100321
93157,123152,80692,100321
93157,123152,76266,100321
93157,123152,104757,100321
111779,123152,104757,100321
88943,123152,104757,100321
47661,123152,104757,100321
83077,123152,104757,100321
83077,123152,104757,110554
83077,111496,104757,110554
100732,111496,104757,110554
100732,111496,81204,110554
100732,111496,70000,110554
132316,111496,70000,110554
132316,69172,70000,110554
111245,69172,70000,110554
93132,69172,70000,110554
45662,69172,70000,110554
45662,69172,70000,64725
72868,69172,70000,64725
63953,69172,70000,64725
63953,69172,70000,116596
108635,69172,70000,116596
108635,69172,70000,96794
115779,69172,70000,96794
115779,69172,109247,96794
115779,69172,123255,96794
91130,69172,123255,96794
105111,69172,123255,96794
105111,102858,123255,96794
110447,102858,123255,96794
110447,102858,68609,96794
110447,102858,68609,89097
110447,102858,78267,89097
110447,102858,46223,89097
110447,102858,140139,89097
72991,102858,140139,89097
72991,102858,129159,89097
72991,102858,129159,102584
72991,102858,129159,102701
72991,102858,129159,83303
72991,102858,106795,83303
72991,102858,101827,83303
72991,99424,101827,83303
96035,99424,101827,83303
96035,99424,101827,94577
96035,142205,101827,94577
96035,142205,97576,94577
96665,142205,97576,94577
138001,142205,97576,94577
138001,142205,113817,94577
138001,115140,113817,94577
63911,115140,113817,94577
63911,115140,66123,94577
63911,115140,133770,94577
63911,115140,133770,112658
63911,115140,133770,85886
91844,115140,133770,85886
91844,115140,75745,85886
91844,115140,125256,85886
91844,115140,147482,85886
91844,85416,147482,85886
91844,101571,147482,85886
91844,101571,69354,85886
91844,101571,105654,85886
91844,101571,105654,63240
91844,67397,105654,63240
91844,67397,78221,63240
118727,67397,78221,63240
118727,112174,78221,63240
98707,112174,78221,63240
98707,112174,162935,63240
98707,112174,91484,63240
98707,112174,91484,89835
98707,112174,91484,74590
98707,97456,91484,74590
98707,97456,107301,74590
98707,117076,107301,74590
98707,117076,163011,74590
98707,117076,163011,105560
81071,117076,163011,105560
81071,76614,163011,105560
81071,126905,163011,105560
81071,85010,163011,105560
81071,85010,163011,133783
128331,85010,163011,133783
128331,85010,78479,133783
128331,95026,78479,133783
148350,95026,78479,133783
148350,93041,78479,133783
84364,93041,78479,133783
84364,93041,78479,151509
137966,93041,78479,151509
137966,93041,78479,94622
137966,64504,78479,94622
137966,64504,142160,94622
137966,64504,69995,94622
137966,64504,69995,136533
137966,121218,69995,136533
137966,121218,69995,44638
137966,121218,69995,95194
164521,121218,69995,95194
164521,121218,69995,120308
164521,75296,69995,120308
164521,75296,69995,183562
164521,75296,136138,183562
164521,66091,136138,183562
164521,66091,136138,110941
164521,66091,136138,168968
164521,66091,136138,96981
164521,82769,136138,96981
164521,82769,75211,96981
164521,97970,75211,96981
164521,97970,84305,96981
93964,97970,84305,96981
93964,84291,84305,96981
93964,84291,87472,96981
93964,84291,87472,158567
93964,84291,63685,158567
93964,109841,63685,158567
93964,78332,63685,158567
93964,78332,63685,64926
123920,78332,63685,64926
123920,78332,125689,64926
77536,78332,125689,64926
77536,78332,142258,64926
77536,73373,142258,64926
93318,73373,142258,64926
93318,86667,142258,64926
93318,91843,142258,64926
93318,91843,142258,121179
93318,72077,142258,121179
78332,72077,142258,121179
104513,72077,142258,121179
104513,72077,142258,69009
67872,72077,142258,69009
72877,72077,142258,69009
72877,72077,125369,69009
72877,72077,125369,86625
72877,111773,125369,86625
72877,111773,125369,120721
72877,111773,96636,120721
77840,111773,96636,120721
77840,128871,96636,120721
77840,128871,96636,111910
77840,81331,96636,111910
77840,81331,120383,111910
77840,81331,113602,111910
77840,81331,113602,86439
77840,99519,113602,86439
129660,99519,113602,86439
129660,61336,113602,86439
129660,44346,113602,86439
129660,44346,113602,86304
47688,44346,113602,86304
47688,78250,113602,86304
86903,78250,113602,86304
132085,78250,113602,86304
132085,130060,113602,86304
69376,130060,113602,86304
69376,130060,88644,86304
82935,130060,88644,86304
82935,130060,88644,128688
82935,130060,88644,90080
82935,130060,88644,130184
82935,130060,84991,130184
82935,130060,84991,63868
82935,130060,84991,98125
82935,97323,84991,98125
82935,97323,125809,98125
82935,97323,99345,98125
82935,124502,99345,98125
104592,124502,99345,98125
104592,145780,99345,98125
104592,56801,99345,98125
104592,56801,99345,83942
104592,138272,99345,83942
104592,138272,99345,96221
104592,138272,107253,96221
104592,138272,107253,119418
104592,138272,162262,119418
104592,141823,162262,119418
104592,91057,162262,119418
73929,91057,162262,119418
73929,91057,162262,108578
73929,91057,149510,108578
73929,91057,149510,113622
73929,132198,149510,113622
90816,132198,149510,113622
150486,132198,149510,113622
150486,132198,149510,76374
93594,132198,149510,76374
93594,132198,149510,98932
81887,132198,149510,98932
108534,132198,149510,98932
108534,132198,149510,135113
80224,132198,149510,135113
80224,132198,149510,152071
80224,132198,82495,152071
80224,132198,136509,152071
80224,132198,136509,58373
80224,98977,136509,58373
80224,125307,136509,58373
80224,92511,136509,58373
80224,81254,136509,58373
80224,81254,110925,58373
90146,81254,110925,58373
90146,81254,128969,58373
90146,81254,128969,74452
90146,84236,128969,74452
90146,113658,128969,74452
90146,113658,96282,74452
90146,114851,96282,74452
90146,114851,161343,74452
122934,114851,161343,74452
103927,114851,161343,74452
40828,114851,161343,74452
40828,114851,128320,74452
40828,114851,119182,74452
40828,114851,119182,99796
40828,114851,119182,117934
40828,114851,119182,89556
40828,114851,119182,112017
55918,114851,119182,112017
105633,114851,119182,112017
105633,114851,119182,101201
105633,83350,119182,101201
105633,83350,114848,101201
137199,83350,114848,101201
137199,83350,92258,101201
137199,83350,103036,101201
137199,83350,120342,101201
98562,83350,120342,101201
98562,83350,120342,138145
98562,83350,120342,126326
98562,82775,120342,126326
98562,71927,120342,126326
98562,130302,120342,126326
98562,130302,83468,126326
98562,90901,83468,126326
98562,90901,83468,121023
98562,90901,83468,76085
98562,90901,83468,116693
98562,90901,112026,116693
98562,90901,112026,122413
98562,90901,112026,95892
98562,94146,112026,95892
98562,94146,86167,95892
98562,94146,141971,95892
85009,94146,141971,95892
125671,94146,141971,95892
93901,94146,141971,95892
93901,94146,141971,82229
93901,94146,121525,82229
93901,94146,122354,82229
93901,94146,122354,72581
93901,94146,122354,122350
93901,94146,81790,122350
93901,134166,81790,122350
93901,122501,81790,122350
92417,122501,81790,122350
92417,89148,81790,122350
92417,89148,74253,122350
92417,154955,74253,122350
92417,154955,74253,99917
92417,93848,74253,99917
92417,75827,74253,99917
92417,75827,74253,110217
92417,75827,117114,110217
92417,75827,109559,110217
92417,75827,101406,110217
92417,75827,101406,135535
92417,75827,101406,94968
92417,75827,155266,94968
92417,75827,106536,94968
92417,75827,106536,97265
92417,96182,106536,97265
92417,96182,132436,97265
92417,117347,132436,97265
92417,164857,132436,97265
92417,164857,132436,119821
92417,164857,132436,111544
107222,164857,132436,111544
88264,164857,132436,111544
77599,164857,132436,111544
77599,71830,132436,111544
72872,71830,132436,111544
72872,71830,132436,121261
72872,71830,132436,127902
72872,71830,132436,76546
72872,133071,132436,76546
72872,105985,132436,76546
72872,89515,132436,76546
72872,89515,132436,133005
72872,48905,132436,133005
72872,105044,132436,133005
72872,105044,83422,133005
72872,105044,83422,117715
72872,118877,83422,117715
72872,105531,83422,117715
72872,93487,83422,117715
72872,83450,83422,117715
72872,83450,71687,117715
72872,83450,86911,117715
72872,132759,86911,117715
112025,132759,86911,117715
62570,132759,86911,117715
76173,132759,86911,117715
76173,132759,86911,104764
76173,133137,86911,104764
112764,133137,86911,104764
112764,133137,96955,104764
112764,133137,96955,72535
112764,133137,96955,156896
112764,133137,77056,156896
112764,80022,77056,156896
75117,80022,77056,156896
100431,80022,77056,156896
100431,108395,77056,156896
100431,108395,77056,96640
100431,95446,77056,96640
100431,95446,106546,96640
100431,106115,106546,96640
100431,62461,106546,96640
100431,55174,106546,96640
100431,55174,103635,96640
100431,55174,119460,96640
100431,55174,102350,96640
100431,62499,102350,96640
100431,127628,102350,96640
100431,127628,127085,96640
100431,92055,127085,96640
100431,92055,91834,96640
100431,120871,91834,96640
100431,72003,91834,96640
74709,72003,91834,96640
98578,72003,91834,96640
98578,72003,91834,105523
98578,72003,91834,128695
98578,72003,91834,94061
98578,72003,50637,94061
44030,72003,50637,94061
72131,72003,50637,94061
72131,72003,50637,137946
72131,72003,50637,116881
72131,72003,64457,116881
72131,72003,64457,98096
72131,130327,64457,98096
72131,130327,64457,119967
72131,106326,64457,119967
72131,106326,64457,140701
72131,131358,64457,140701
72131,117656,64457,140701
83645,117656,64457,140701
83645,97023,64457,140701
83645,111974,64457,140701
73443,111974,64457,140701
73443,111974,64457,80546
73443,111974,143724,80546
73443,109124,143724,80546
73443,109124,171735,80546
73443,109124,123546,80546
73443,109124,112714,80546
64882,109124,112714,80546
64882,109124,112714,131052
94976,109124,112714,131052
107597,109124,112714,131052
107597,109124,81431,131052
107597,109124,44013,131052
117311,109124,44013,131052
117311,72180,44013,131052
117311,72180,44013,84587
117311,72180,60805,84587
117311,72180,102652,84587
117311,72180,125414,84587
117311,72180,111933,84587
117311,87014,111933,84587
117311,87014,111933,84135
117311,87014,111933,110978
117311,78949,111933,110978
83682,78949,111933,110978
83682,78949,90209,110978
83682,47695,90209,110978
83682,47695,83177,110978
83682,47695,83892,110978
83682,47695,83892,55074
83682,135228,83892,55074
93014,135228,83892,55074
93014,58180,83892,55074
87049,58180,83892,55074
87049,58180,83892,77435
68926,58180,83892,77435
90446,58180,83892,77435
98202,58180,83892,77435
98202,58180,83892,98170
78119,58180,83892,98170
78119,124424,83892,98170
78119,124424,98486,98170
78119,124424,99849,98170
78119,124424,115809,98170
78119,93033,115809,98170
78119,93033,111169,98170
85839,93033,111169,98170
85839,93033,100693,98170
85839,93033,100693,103060
84837,93033,100693,103060
84837,109433,100693,103060
97586,109433,100693,103060
97586,109433,100693,131262
97586,100322,100693,131262
97586,100322,129924,131262
97586,100322,137195,131262
75829,100322,137195,131262
75829,75979,137195,131262
58835,75979,137195,131262
58835,102302,137195,131262
58835,102302,131635,131262
58835,102302,105833,131262
98382,102302,105833,131262
98382,100556,105833,131262
112047,100556,105833,131262
112047,100556,105833,117115
112047,100556,112010,117115
64148,100556,112010,117115
64148,100556,96525,117115
105001,100556,96525,117115
105001,100556,96525,88616
105001,100556,81276,88616
105001,100556,90308,88616
105001,98940,90308,88616
105001,98940,115875,88616
105001,98940,115875,113474
105001,98940,140172,113474
105001,98940,140172,90588
105722,98940,140172,90588
105722,85094,140172,90588
105722,85094,140172,162967
105722,85094,140172,135437
105722,81664,140172,135437
98725,81664,140172,135437
93742,81664,140172,135437
93742,81664,88379,135437
93742,86972,88379,135437
93742,86972,88379,107301
93742,86972,88379,84957
93742,78442,88379,84957
88528,78442,88379,84957
88528,78442,123206,84957
88528,78442,138666,84957
88528,78442,138666,124172
89227,78442,138666,124172
89227,78442,138666,126722
109291,78442,138666,126722
109291,76591,138666,126722
109291,76591,102932,126722
109291,76591,102932,113135
109291,76591,102932,134671
109048,76591,102932,134671
109048,76591,152243,134671
109048,76591,152243,72440
68488,76591,152243,72440
101877,76591,152243,72440
101877,133357,152243,72440
101877,158817,152243,72440
113708,158817,152243,72440
113708,158817,152243,107025
86094,158817,152243,107025
86094,158817,107874,107025
86094,82108,107874,107025
86094,82108,93179,107025
86094,82108,93179,72633
86094,82108,89887,72633
86094,82108,78124,72633
86094,82108,60009,72633
86094,82108,100675,72633
86094,82108,100675,111798
86094,100054,100675,111798
107747,100054,100675,111798
107747,100054,124786,111798
107747,91997,124786,111798
104773,91997,124786,111798
104773,91997,124786,117219
104773,91997,124786,156702
104773,91997,105131,156702
104773,91997,109125,156702
104773,91997,139664,156702
67418,91997,139664,156702
67418,91997,139664,106209
67418,91997,139664,162121
83690,91997,139664,162121
73873,91997,139664,162121
73873,112964,139664,162121
126789,112964,139664,162121
126789,105294,139664,162121
126789,105294,139664,113004
126789,105294,105090,113004
126789,105294,65063,113004
126789,105294,65063,157327
126789,132402,65063,157327
126789,132402,127577,157327
81532,132402,127577,157327
81532,132402,94717,157327
81532,132402,94717,108952
81532,139705,94717,108952
108934,139705,94717,108952
122270,139705,94717,108952
122270,139705,94717,144110
122270,139705,138293,144110
71901,139705,138293,144110
71901,82297,138293,144110
66531,82297,138293,144110
127947,82297,138293,144110
127947,82297,138293,56144
127947,82297,138293,81177
127947,82297,138293,122208
127947,111728,138293,122208
127947,115915,138293,122208
127947,115915,138293,121263
127947,89159,138293,121263
127947,89159,138293,118687
90750,89159,138293,118687
90750,89159,83172,118687
90750,71958,83172,118687
90750,117939,83172,118687
90750,117939,160790,118687
90750,110738,160790,118687
114768,110738,160790,118687
114768,110738,160790,142848
114768,101518,160790,142848
111999,101518,160790,142848
103985,101518,160790,142848
103985,101518,87575,142848
103985,119455,87575,142848
82698,119455,87575,142848
82698,119455,87575,105389
82698,44692,87575,105389
82698,67980,87575,105389
82698,67980,113099,105389
113524,67980,113099,105389
113524,118548,113099,105389
52568,118548,113099,105389
52568,118548,107764,105389
52568,118548,116481,105389
52568,99206,116481,105389
141578,99206,116481,105389
141578,99206,119494,105389
141578,99206,69887,105389
141578,99206,69887,82838
141578,69304,69887,82838
141578,69304,69887,106933
167303,69304,69887,106933
167303,69304,69887,56309
167303,69304,119145,56309
139818,69304,119145,56309
67393,69304,119145,56309
67393,69304,119145,143194
67393,69304,140119,143194
67393,69304,140119,126404
67393,69304,140119,87325
100171,69304,140119,87325
58116,69304,140119,87325
58116,118685,140119,87325
58116,118685,103985,87325
58116,66005,103985,87325
58116,66005,87737,87325
58116,59680,87737,87325
58116,59680,77854,87325
110717,59680,77854,87325
110717,59680,77854,111266
112286,59680,77854,111266
44722,59680,77854,111266
125266,59680,77854,111266
107737,59680,77854,111266
107737,59680,125182,111266
86961,59680,125182,111266
40958,59680,125182,111266
40958,120171,125182,111266
55337,120171,125182,111266
55337,120171,101732,111266
85511,120171,101732,111266
85511,114432,101732,111266
88730,114432,101732,111266
88730,114432,101732,97297
88730,114432,89173,97297
88730,114432,124894,97297
86626,114432,124894,97297
155013,114432,124894,97297
86516,114432,124894,97297
86516,114432,100207,97297
86516,114432,100207,94774
117493,114432,100207,94774
117493,114432,134816,94774
117493,114432,134816,135111
117493,43358,134816,135111
86316,43358,134816,135111
121537,43358,134816,135111
99929,43358,134816,135111
99929,43358,134816,144601
118381,43358,134816,144601
118381,43358,134816,111536
118381,85050,134816,111536
118381,90978,134816,111536
65579,90978,134816,111536
79092,90978,134816,111536
79092,90978,75882,111536
95858,90978,75882,111536
95858,90978,105991,111536
95858,90978,105991,66900
69998,90978,105991,66900
69998,127264,105991,66900
61165,127264,105991,66900
61165,127264,105991,119702
59945,127264,105991,119702
59945,127264,105991,128041
59945,127264,104929,128041
59945,129789,104929,128041
80593,129789,104929,128041
80593,129789,104286,128041
80593,129789,148984,128041
119980,129789,148984,128041
119980,163390,148984,128041
89856,163390,148984,128041
89856,123095,148984,128041
89856,110766,148984,128041
89856,110766,148984,95954
89856,110766,148984,139467
89856,96469,148984,139467
127543,96469,148984,139467
144389,96469,148984,139467
119403,96469,148984,139467
119403,96469,96581,139467
134495,96469,96581,139467
134495,101057,96581,139467
134495,101057,103591,139467
115117,101057,103591,139467
115117,65347,103591,139467
93109,65347,103591,139467
93109,65347,125942,139467
93109,65347,116726,139467
90168,65347,116726,139467
106277,65347,116726,139467
106277,65347,123506,139467
106277,65347,99653,139467
106277,65347,99653,57109
106277,65347,87999,57109
68694,65347,87999,57109
45447,65347,87999,57109
45447,118541,87999,57109
63448,118541,87999,57109
123614,118541,87999,57109
123614,135821,87999,57109
98118,135821,87999,57109
98118,119672,87999,57109
98118,119672,118642,57109
98118,119672,118642,82424
98118,119672,116101,82424
98118,119672,95748,82424
98118,74739,95748,82424
108414,74739,95748,82424
108414,107871,95748,82424
73317,107871,95748,82424
67435,107871,95748,82424
72076,107871,95748,82424
72076,94004,95748,82424
64631,94004,95748,82424
64631,94004,95748,112862
64631,94004,142024,112862
120234,94004,142024,112862
120234,94004,105064,112862
120234,94004,89743,112862
120234,53598,89743,112862
100040,53598,89743,112862
100040,121881,89743,112862
100040,121881,89743,103415
138462,121881,89743,103415
138462,88376,89743,103415
138462,88376,89743,126180
138462,88376,89743,117887
138462,88376,89743,184010
138462,110679,89743,184010
138462,110679,89743,146719
138462,110679,89743,112862
113360,110679,89743,112862
113360,110679,89743,131513
113360,110679,110171,131513
85057,110679,110171,131513
85057,110679,98328,131513
110875,110679,98328,131513
110875,110679,98328,129400
110875,129719,98328,129400
110875,129719,98328,96165
126860,129719,98328,96165
64613,129719,98328,96165
64613,129719,98328,80930
116490,129719,98328,80930
116490,129719,131977,80930
116490,140906,131977,80930
91872,140906,131977,80930
103766,140906,131977,80930
103766,140906,97954,80930
103766,41030,97954,80930
103766,115970,97954,80930
103766,115970,97954,70167
103766,115970,97954,101325
103766,115970,97954,126686
103766,115970,97954,108749
103766,57936,97954,108749
103766,57936,97954,124317
91002,57936,97954,124317
91002,57936,97954,128177
91002,70405,97954,128177
91002,103432,97954,128177
91002,95710,97954,128177
91002,66955,97954,128177
91002,66955,94643,128177
64198,66955,94643,128177
64198,66955,50680,128177
64198,66955,69773,128177
64198,66955,69773,116440
136182,66955,69773,116440
111781,66955,69773,116440
111781,66955,110098,116440
109124,66955,110098,116440
109530,66955,110098,116440
109530,66955,111799,116440
94980,66955,111799,116440
90570,66955,111799,116440
90570,66955,93962,116440
90570,90248,93962,116440
90570,112668,93962,116440
90570,112668,93962,101584
90570,112668,95075,101584
84775,112668,95075,101584
121857,112668,95075,101584
121857,65394,95075,101584
114932,65394,95075,101584
123257,65394,95075,101584
123257,100394,95075,101584
101838,100394,95075,101584
101838,100394,104416,101584
99310,100394,104416,101584
99310,100394,94348,101584
99310,100394,108986,101584
99310,84963,108986,101584
99310,84963,82673,101584
99310,84963,82673,88030
65914,84963,82673,88030
65914,84963,112544,88030
95071,84963,112544,88030
99601,84963,112544,88030
99601,84963,112544,125352